Time, Bikes
31-10-2013 00:00,6
31-10-2013 07:26,5
31-10-2013 07:32,6
31-10-2013 08:02,7
31-10-2013 08:09,8
31-10-2013 08:14,9
31-10-2013 08:38,10
31-10-2013 08:50,11
31-10-2013 09:22,12
31-10-2013 09:37,13
31-10-2013 09:42,14
31-10-2013 09:46,15
31-10-2013 10:02,16
31-10-2013 10:02,17
31-10-2013 10:06,16
31-10-2013 10:11,17
31-10-2013 10:21,18
31-10-2013 10:58,17
31-10-2013 11:01,16
31-10-2013 11:19,17
31-10-2013 11:28,18
31-10-2013 11:38,17
31-10-2013 00:01,18
31-10-2013 00:07,19
31-10-2013 11:53,20
31-10-2013 11:57,19
31-10-2013 00:01,18
31-10-2013 00:03,17
31-10-2013 00:03,18
31-10-2013 00:05,17
31-10-2013 00:16,18
31-10-2013 00:19,17
31-10-2013 00:22,16
31-10-2013 00:27,17
31-10-2013 00:29,16
31-10-2013 00:30,17
31-10-2013 00:37,16
31-10-2013 00:38,15
31-10-2013 00:39,14
31-10-2013 00:57,13
31-10-2013 13:04,14
31-10-2013 13:07,15
31-10-2013 13:07,16
31-10-2013 13:09,15
31-10-2013 13:34,14
31-10-2013 13:53,15
31-10-2013 14:06,16
31-10-2013 14:12,17
31-10-2013 14:22,16
31-10-2013 14:37,15
31-10-2013 14:37,14
31-10-2013 14:42,13
31-10-2013 14:42,12
31-10-2013 14:44,13
31-10-2013 14:44,14
31-10-2013 14:47,15
31-10-2013 14:48,14
31-10-2013 14:50,13
31-10-2013 14:54,14
31-10-2013 14:55,15
31-10-2013 15:11,14
31-10-2013 15:11,13
31-10-2013 15:15,12
31-10-2013 15:23,13
31-10-2013 15:23,14
31-10-2013 15:39,15
31-10-2013 15:51,16
31-10-2013 15:51,17
31-10-2013 15:51,18
31-10-2013 15:54,17
31-10-2013 15:54,18
31-10-2013 15:55,17
31-10-2013 15:56,18
31-10-2013 15:56,17
31-10-2013 15:58,16
31-10-2013 16:00,15
31-10-2013 16:09,16
31-10-2013 16:09,17
31-10-2013 16:15,18
31-10-2013 16:20,17
31-10-2013 16:22,16
31-10-2013 16:22,15
31-10-2013 16:24,16
31-10-2013 16:26,15
31-10-2013 16:26,16
31-10-2013 16:29,15
31-10-2013 16:30,14
31-10-2013 16:34,15
31-10-2013 16:37,16
31-10-2013 16:42,17
31-10-2013 16:56,18
31-10-2013 17:01,17
31-10-2013 17:01,18
31-10-2013 17:06,17
31-10-2013 17:15,16
31-10-2013 17:29,15
31-10-2013 17:46,14
31-10-2013 18:38,15
31-10-2013 18:52,16
31-10-2013 18:53,15
31-10-2013 18:57,16
31-10-2013 19:08,15
31-10-2013 19:25,16
31-10-2013 19:49,15
31-10-2013 19:54,16
31-10-2013 20:14,15
31-10-2013 21:01,14
31-10-2013 21:40,13
31-10-2013 22:17,14
31-10-2013 22:22,13
31-10-2013 23:40,12
31-10-2013 23:59,12
